State,116th Congressional District,2017 NAICS Code,Number_of_Establishments,Employment,Avg_wage
Alabama,1.00,------,16135.00,243986.00,43991.12
Alabama,1.00,11----,135.00,969.00,44814.24
Alabama,1.00,21----,35.00,520.00,88605.77
Alabama,1.00,22----,51.00,1505.00,103132.23
Alabama,1.00,23----,1434.00,17723.00,51586.98
Alabama,1.00,31----,564.00,27031.00,69843.29
Alabama,1.00,42----,854.00,11198.00,59279.60
Alabama,1.00,44----,2767.00,37339.00,28670.91
Alabama,1.00,48----,602.00,12356.00,46491.34
Alabama,1.00,51----,286.00,3774.00,61621.89
Alabama,1.00,52----,1153.00,7528.00,83791.05
Alabama,1.00,53----,928.00,4359.00,41893.55
Alabama,1.00,54----,1424.00,12112.00,64815.31
Alabama,1.00,55----,99.00,3346.00,84932.76
Alabama,1.00,56----,841.00,18582.00,35059.04
Alabama,1.00,61----,149.00,4673.00,33944.36
Alabama,1.00,62----,1449.00,33235.00,47623.59
Alabama,1.00,71----,207.00,3600.00,14958.89
Alabama,1.00,72----,1479.00,32757.00,15963.67
Alabama,1.00,81----,1656.00,11338.00,25771.21
Alabama,1.00,99----,22.00,41.00,11756.10
Alabama,2.00,------,14142.00,218228.00,41230.99
Alabama,2.00,11----,169.00,1919.00,54482.54
Alabama,2.00,21----,19.00,240.00,51170.83
Alabama,2.00,22----,67.00,2705.00,112347.87
Alabama,2.00,23----,1050.00,9865.00,52277.55
Alabama,2.00,31----,492.00,27388.00,46013.03
Alabama,2.00,42----,653.00,11554.00,54394.67
Alabama,2.00,44----,2576.00,31679.00,28800.28
Alabama,2.00,48----,462.00,12662.00,52590.90
Alabama,2.00,51----,268.00,2771.00,49696.14
Alabama,2.00,52----,1077.00,7276.00,66822.98
Alabama,2.00,53----,589.00,2582.00,39853.21
Alabama,2.00,54----,1193.00,9900.00,70669.39
Alabama,2.00,55----,76.00,1901.00,76631.77
Alabama,2.00,56----,623.00,13834.00,27317.33
Alabama,2.00,61----,133.00,3452.00,30580.82
Alabama,2.00,62----,1462.00,37575.00,48094.40
Alabama,2.00,71----,172.00,2459.00,14253.76
Alabama,2.00,72----,1413.00,27696.00,14208.04
Alabama,2.00,81----,1630.00,10744.00,28157.11
Alabama,2.00,99----,18.00,26.00,20807.69
Alabama,3.00,------,11896.00,188103.00,37215.54
Alabama,3.00,11----,131.00,778.00,41628.53
Alabama,3.00,21----,19.00,547.00,69076.78
Alabama,3.00,22----,57.00,1102.00,84328.49
Alabama,3.00,23----,992.00,8212.00,51730.64
Alabama,3.00,31----,552.00,41690.00,50201.73
Alabama,3.00,42----,426.00,6317.00,50776.48
Alabama,3.00,44----,2256.00,29002.00,26812.70
Alabama,3.00,48----,376.00,7433.00,39821.34
Alabama,3.00,51----,202.00,1900.00,46226.32
Alabama,3.00,52----,820.00,4585.00,61144.17
Alabama,3.00,53----,520.00,2188.00,41808.96
Alabama,3.00,54----,895.00,5683.00,47134.96
Alabama,3.00,55----,43.00,499.00,61134.27
Alabama,3.00,56----,562.00,12335.00,26138.14
Alabama,3.00,61----,84.00,3168.00,28704.55
Alabama,3.00,62----,1203.00,27639.00,42542.78
Alabama,3.00,71----,109.00,1516.00,23306.73
Alabama,3.00,72----,1249.00,25754.00,13943.89
Alabama,3.00,81----,1377.00,7735.00,23660.37
Alabama,3.00,99----,23.00,20.00,24350.00
Alabama,4.00,------,12537.00,198766.00,38010.28
Alabama,4.00,11----,109.00,745.00,36575.84
Alabama,4.00,21----,47.00,2153.00,77866.70
Alabama,4.00,22----,48.00,1138.00,97504.39
Alabama,4.00,23----,950.00,8488.00,49720.55
Alabama,4.00,31----,755.00,56316.00,41464.47
Alabama,4.00,42----,562.00,7354.00,49154.34
Alabama,4.00,44----,2468.00,27508.00,28603.02
Alabama,4.00,48----,463.00,6065.00,46225.56
Alabama,4.00,51----,184.00,2151.00,55476.52
Alabama,4.00,52----,966.00,5940.00,55127.78
Alabama,4.00,53----,425.00,1853.00,33461.41
Alabama,4.00,54----,805.00,3985.00,46494.60
Alabama,4.00,55----,65.00,3107.00,75383.65
Alabama,4.00,56----,448.00,10952.00,27284.15
Alabama,4.00,61----,63.00,714.00,21719.89
Alabama,4.00,62----,1508.00,31370.00,42347.75
Alabama,4.00,71----,134.00,1180.00,17269.49
Alabama,4.00,72----,1097.00,19745.00,14059.76
Alabama,4.00,81----,1415.00,7979.00,24301.54
Alabama,4.00,99----,25.00,23.00,23869.57
Alabama,5.00,------,15508.00,284681.00,52694.44
Alabama,5.00,11----,37.00,203.00,42724.14
Alabama,5.00,21----,19.00,370.00,57608.11
Alabama,5.00,22----,9.00,144.00,99208.33
Alabama,5.00,23----,1178.00,12850.00,55157.51
Alabama,5.00,31----,649.00,43680.00,59890.71
Alabama,5.00,42----,678.00,9458.00,61001.27
Alabama,5.00,44----,2571.00,36040.00,28779.13
Alabama,5.00,48----,353.00,8379.00,55614.27
Alabama,5.00,51----,278.00,5344.00,62024.70
Alabama,5.00,52----,1022.00,6889.00,69942.66
Alabama,5.00,53----,792.00,2975.00,45034.96
Alabama,5.00,54----,1962.00,51177.00,97479.57
Alabama,5.00,55----,61.00,2313.00,90329.01
Alabama,5.00,56----,727.00,12574.00,36039.45
Alabama,5.00,61----,162.00,4096.00,34831.54
Alabama,5.00,62----,1865.00,43272.00,47278.56
Alabama,5.00,71----,196.00,4237.00,12447.01
Alabama,5.00,72----,1393.00,29629.00,14593.91
Alabama,5.00,81----,1536.00,11030.00,25366.82
Alabama,5.00,99----,20.00,21.00,17571.43
Alabama,6.00,------,16582.00,265760.00,51638.90
Alabama,6.00,11----,53.00,574.00,49879.79
Alabama,6.00,21----,27.00,1406.00,78042.67
Alabama,6.00,22----,69.00,3126.00,141313.18
Alabama,6.00,23----,1479.00,18166.00,62972.97
Alabama,6.00,31----,499.00,17934.00,55464.20
Alabama,6.00,42----,939.00,11425.00,73798.69
Alabama,6.00,44----,2564.00,39645.00,28677.39
Alabama,6.00,48----,376.00,5997.00,46080.21
Alabama,6.00,51----,292.00,9607.00,76477.67
Alabama,6.00,52----,1387.00,20670.00,107703.77
Alabama,6.00,53----,858.00,4332.00,76602.72
Alabama,6.00,54----,1833.00,13790.00,70783.68
Alabama,6.00,55----,134.00,6241.00,114834.16
Alabama,6.00,56----,866.00,20819.00,40317.74
Alabama,6.00,61----,173.00,4460.00,28923.77
Alabama,6.00,62----,1704.00,36121.00,48358.30
Alabama,6.00,71----,244.00,5998.00,17420.47
Alabama,6.00,72----,1361.00,29843.00,16279.66
Alabama,6.00,81----,1702.00,15577.00,29312.32
Alabama,6.00,99----,22.00,29.00,25758.62
Alabama,7.00,------,13580.00,304428.00,50917.55
Alabama,7.00,11----,143.00,1192.00,52175.34
Alabama,7.00,21----,30.00,639.00,58654.15
Alabama,7.00,22----,54.00,5391.00,113927.10
Alabama,7.00,23----,871.00,16871.00,62601.86
Alabama,7.00,31----,591.00,50648.00,60741.92
Alabama,7.00,42----,828.00,16517.00,60140.58
Alabama,7.00,44----,2359.00,26248.00,29563.51
Alabama,7.00,48----,576.00,18143.00,44597.59
Alabama,7.00,51----,265.00,4667.00,63682.67
Alabama,7.00,52----,821.00,14682.00,90483.93
Alabama,7.00,53----,579.00,5358.00,45404.44
Alabama,7.00,54----,1268.00,11562.00,77478.29
Alabama,7.00,55----,94.00,3908.00,74777.12
Alabama,7.00,56----,538.00,18932.00,25739.96
Alabama,7.00,61----,132.00,3979.00,28985.67
Alabama,7.00,62----,1374.00,61377.00,55310.49
Alabama,7.00,71----,171.00,2515.00,17743.94
Alabama,7.00,72----,1329.00,26090.00,14792.45
Alabama,7.00,81----,1538.00,15681.00,37627.57
Alabama,7.00,99----,19.00,28.00,27357.14
Alaska,0.00,------,21184.00,266063.00,61380.32
Alaska,0.00,11----,479.00,546.00,87163.00
Alaska,0.00,21----,149.00,10447.00,120891.55
Alaska,0.00,22----,109.00,2144.00,109884.79
Alaska,0.00,23----,2516.00,16601.00,88651.59
Alaska,0.00,31----,549.00,12721.00,59413.10
Alaska,0.00,42----,707.00,8700.00,64140.34
Alaska,0.00,44----,2369.00,33219.00,35194.26
Alaska,0.00,48----,1173.00,19084.00,79745.39
Alaska,0.00,51----,415.00,6366.00,75222.12
Alaska,0.00,52----,787.00,7195.00,81461.71
Alaska,0.00,53----,1010.00,4688.00,52156.14
Alaska,0.00,54----,1977.00,20100.00,78564.68
Alaska,0.00,55----,169.00,5410.00,139017.56
Alaska,0.00,56----,1153.00,22306.00,51069.26
Alaska,0.00,61----,292.00,2883.00,27753.38
Alaska,0.00,62----,2748.00,51984.00,64884.48
Alaska,0.00,71----,569.00,4929.00,18593.22
Alaska,0.00,72----,2098.00,26875.00,22537.71
Alaska,0.00,81----,1864.00,9829.00,38181.40
Alaska,0.00,99----,51.00,36.00,81138.89
Arizona,1.00,------,12375.00,174176.00,41902.52
Arizona,1.00,11----,43.00,607.00,21856.67
Arizona,1.00,21----,58.00,5936.00,77210.75
Arizona,1.00,22----,79.00,1564.00,91813.94
Arizona,1.00,23----,1164.00,8813.00,47998.75
Arizona,1.00,31----,331.00,15913.00,78457.11
Arizona,1.00,42----,322.00,3494.00,51547.22
Arizona,1.00,44----,1819.00,29003.00,28698.13
Arizona,1.00,48----,349.00,5557.00,44004.86
Arizona,1.00,51----,206.00,2342.00,50718.19
Arizona,1.00,52----,591.00,2754.00,61143.43
Arizona,1.00,53----,797.00,2689.00,41033.84
Arizona,1.00,54----,1119.00,4663.00,49836.16
Arizona,1.00,55----,35.00,680.00,84723.53
Arizona,1.00,56----,633.00,7152.00,38189.18
Arizona,1.00,61----,187.00,3508.00,34634.26
Arizona,1.00,62----,1599.00,31608.00,51586.97
Arizona,1.00,71----,260.00,4160.00,27278.61
Arizona,1.00,72----,1601.00,36525.00,19725.78
Arizona,1.00,81----,1159.00,7181.00,28770.51
Arizona,1.00,99----,23.00,27.00,55259.26
Arizona,2.00,------,15487.00,223545.00,42588.05
Arizona,2.00,11----,26.00,270.00,38211.11
Arizona,2.00,21----,21.00,1602.00,64814.61
Arizona,2.00,22----,33.00,734.00,87544.96
Arizona,2.00,23----,1239.00,13821.00,53973.88
Arizona,2.00,31----,311.00,5296.00,75500.00
Arizona,2.00,42----,374.00,2897.00,54392.47
Arizona,2.00,44----,2032.00,38018.00,33820.14
Arizona,2.00,48----,231.00,4419.00,45045.03
Arizona,2.00,51----,264.00,4624.00,67199.18
Arizona,2.00,52----,1043.00,8972.00,75463.89
Arizona,2.00,53----,1167.00,5361.00,39629.55
Arizona,2.00,54----,1991.00,16537.00,64546.05
Arizona,2.00,55----,83.00,2000.00,70174.00
Arizona,2.00,56----,884.00,17697.00,31969.20
Arizona,2.00,61----,270.00,5043.00,38702.36
Arizona,2.00,62----,2484.00,51310.00,48671.04
Arizona,2.00,71----,250.00,4523.00,20277.25
Arizona,2.00,72----,1349.00,30247.00,17282.84
Arizona,2.00,81----,1420.00,10156.00,26840.59
Arizona,2.00,99----,15.00,18.00,23055.56
Arizona,3.00,------,10264.00,183553.00,46868.46
Arizona,3.00,11----,41.00,1018.00,33234.77
Arizona,3.00,21----,16.00,938.00,46978.68
Arizona,3.00,22----,37.00,4414.00,116753.74
Arizona,3.00,23----,1073.00,13265.00,52806.26
Arizona,3.00,31----,388.00,16390.00,83728.92
Arizona,3.00,42----,655.00,8568.00,56782.33
Arizona,3.00,44----,1349.00,26728.00,31752.24
Arizona,3.00,48----,594.00,13059.00,45351.10
Arizona,3.00,51----,159.00,3216.00,61723.57
Arizona,3.00,52----,446.00,5608.00,58780.49
Arizona,3.00,53----,505.00,2705.00,33973.01
Arizona,3.00,54----,967.00,6887.00,63513.29
Arizona,3.00,55----,49.00,2032.00,41875.98
Arizona,3.00,56----,516.00,11266.00,29812.98
Arizona,3.00,61----,150.00,4011.00,39879.08
Arizona,3.00,62----,1151.00,30178.00,56386.54
Arizona,3.00,71----,141.00,3776.00,16233.58
Arizona,3.00,72----,1109.00,23617.00,17779.48
Arizona,3.00,81----,902.00,5843.00,32075.99
Arizona,3.00,99----,16.00,34.00,22176.47
Arizona,4.00,------,13750.00,151902.00,38020.11
Arizona,4.00,11----,32.00,633.00,34418.64
Arizona,4.00,21----,49.00,1316.00,65660.33
Arizona,4.00,22----,73.00,836.00,79850.48
Arizona,4.00,23----,1910.00,12779.00,46092.10
Arizona,4.00,31----,424.00,9918.00,43168.88
Arizona,4.00,42----,459.00,4718.00,52980.71
Arizona,4.00,44----,1903.00,30702.00,30783.21
Arizona,4.00,48----,415.00,3976.00,42983.15
Arizona,4.00,51----,201.00,1531.00,38275.64
Arizona,4.00,52----,626.00,3286.00,56744.37
Arizona,4.00,53----,1039.00,2533.00,39693.25
Arizona,4.00,54----,1194.00,4766.00,50348.30
Arizona,4.00,55----,38.00,784.00,50724.49
Arizona,4.00,56----,774.00,9314.00,41145.16
Arizona,4.00,61----,119.00,3162.00,32397.53
Arizona,4.00,62----,1647.00,27951.00,50659.48
Arizona,4.00,71----,225.00,3345.00,19502.24
Arizona,4.00,72----,1368.00,23866.00,18204.94
Arizona,4.00,81----,1237.00,6464.00,29357.83
Arizona,4.00,99----,17.00,22.00,35636.36
Arizona,5.00,------,17638.00,228759.00,46237.84
Arizona,5.00,11----,12.00,209.00,33200.96
Arizona,5.00,21----,11.00,88.00,87375.00
Arizona,5.00,22----,11.00,29.00,52655.17
Arizona,5.00,23----,1852.00,18769.00,58986.95
Arizona,5.00,31----,350.00,17699.00,68237.81
Arizona,5.00,42----,551.00,5414.00,81564.09
Arizona,5.00,44----,1839.00,37573.00,32641.10
Arizona,5.00,48----,316.00,5038.00,47841.41
Arizona,5.00,51----,258.00,3333.00,58341.13
Arizona,5.00,52----,1175.00,15524.00,80764.30
Arizona,5.00,53----,1664.00,5494.00,47661.99
Arizona,5.00,54----,2526.00,11559.00,78398.13
Arizona,5.00,55----,71.00,2258.00,60252.88
Arizona,5.00,56----,1131.00,14569.00,40430.16
Arizona,5.00,61----,325.00,8616.00,43439.07
Arizona,5.00,62----,2582.00,36554.00,46135.33
Arizona,5.00,71----,250.00,6061.00,14036.13
Arizona,5.00,72----,1379.00,30114.00,17582.89
Arizona,5.00,81----,1293.00,9810.00,32467.69
Arizona,5.00,99----,42.00,48.00,44083.33
Arizona,6.00,------,26789.00,426251.00,57661.59
Arizona,6.00,11----,41.00,125.00,42424.00
Arizona,6.00,21----,17.00,224.00,91084.82
Arizona,6.00,22----,19.00,2039.00,123989.70
Arizona,6.00,23----,2169.00,33780.00,68690.32
Arizona,6.00,31----,541.00,14462.00,70961.28
Arizona,6.00,42----,1109.00,10654.00,77000.19
Arizona,6.00,44----,2746.00,46782.00,35684.86
Arizona,6.00,48----,406.00,11965.00,47606.85
Arizona,6.00,51----,497.00,14058.00,83458.88
Arizona,6.00,52----,2300.00,49216.00,95145.10
Arizona,6.00,53----,2402.00,10454.00,67618.71
Arizona,6.00,54----,4331.00,32860.00,78913.09
Arizona,6.00,55----,211.00,13585.00,99184.39
Arizona,6.00,56----,1661.00,32957.00,48835.88
Arizona,6.00,61----,454.00,10829.00,44082.74
Arizona,6.00,62----,3612.00,55048.00,57659.21
Arizona,6.00,71----,482.00,13744.00,26172.22
Arizona,6.00,72----,1902.00,57808.00,20453.64
Arizona,6.00,81----,1841.00,15607.00,37513.49
Arizona,6.00,99----,48.00,54.00,37796.30
Arizona,7.00,------,14572.00,417891.00,54765.52
Arizona,7.00,11----,9.00,105.00,42600.00
Arizona,7.00,21----,11.00,113.00,80991.15
Arizona,7.00,22----,17.00,1708.00,120386.42
Arizona,7.00,23----,1169.00,33515.00,59331.14
Arizona,7.00,31----,967.00,41364.00,58403.39
Arizona,7.00,42----,1336.00,35171.00,68577.29
Arizona,7.00,44----,1644.00,36364.00,35512.59
Arizona,7.00,48----,748.00,52566.00,53879.92
Arizona,7.00,51----,302.00,6760.00,74004.88
Arizona,7.00,52----,675.00,25173.00,82067.93
Arizona,7.00,53----,709.00,6485.00,49732.92
Arizona,7.00,54----,1561.00,17842.00,82410.72
Arizona,7.00,55----,149.00,7073.00,93899.76
Arizona,7.00,56----,844.00,29666.00,36063.57
Arizona,7.00,61----,187.00,19127.00,41838.13
Arizona,7.00,62----,1411.00,55109.00,62066.18
Arizona,7.00,71----,143.00,5242.00,52001.91
Arizona,7.00,72----,1437.00,30209.00,18436.89
Arizona,7.00,81----,1236.00,14259.00,40785.19
Arizona,7.00,99----,17.00,40.00,52525.00
Arizona,8.00,------,13128.00,171581.00,39542.13
Arizona,8.00,11----,11.00,22.00,36727.27
Arizona,8.00,21----,12.00,145.00,68751.72
Arizona,8.00,22----,16.00,371.00,100075.47
Arizona,8.00,23----,1327.00,10197.00,53106.99
Arizona,8.00,31----,205.00,5708.00,49707.60
Arizona,8.00,42----,336.00,3552.00,55620.50
Arizona,8.00,44----,1616.00,36693.00,31573.65
Arizona,8.00,48----,316.00,3072.00,44235.68
Arizona,8.00,51----,154.00,1536.00,39083.33
Arizona,8.00,52----,885.00,5885.00,81759.90
Arizona,8.00,53----,963.00,3461.00,45667.73
Arizona,8.00,54----,1294.00,5392.00,55544.70
Arizona,8.00,55----,23.00,834.00,61528.78
Arizona,8.00,56----,873.00,7671.00,36136.62
Arizona,8.00,61----,191.00,3247.00,34451.80
Arizona,8.00,62----,2285.00,40239.00,50529.06
Arizona,8.00,71----,242.00,6681.00,29367.61
Arizona,8.00,72----,1226.00,29320.00,17925.27
Arizona,8.00,81----,1129.00,7541.00,29579.10
Arizona,8.00,99----,24.00,14.00,166214.29
Arizona,9.00,------,25025.00,533219.00,59419.93
Arizona,9.00,11----,13.00,49.00,56734.69
Arizona,9.00,21----,4.00,23.00,155043.48
Arizona,9.00,22----,19.00,759.00,99579.71
Arizona,9.00,23----,1570.00,35344.00,65477.31
Arizona,9.00,31----,752.00,29335.00,68211.76
Arizona,9.00,42----,1125.00,20129.00,83542.80
Arizona,9.00,44----,2641.00,50780.00,36805.63
Arizona,9.00,48----,368.00,11426.00,47356.99
Arizona,9.00,51----,536.00,17954.00,83425.81
Arizona,9.00,52----,1891.00,54232.00,86225.00
Arizona,9.00,53----,2115.00,16019.00,64055.62
Arizona,9.00,54----,4239.00,59584.00,94825.84
Arizona,9.00,55----,288.00,32606.00,75787.77
Arizona,9.00,56----,1445.00,47724.00,40167.38
Arizona,9.00,61----,406.00,9973.00,36972.73
Arizona,9.00,62----,3154.00,67336.00,51019.78
Arizona,9.00,71----,357.00,7632.00,58941.82
Arizona,9.00,72----,2150.00,53632.00,18490.53
Arizona,9.00,81----,1909.00,18609.00,38040.95
Arizona,9.00,99----,43.00,73.00,41876.71
Arkansas,1.00,------,13857.00,196512.00,39051.06
Arkansas,1.00,11----,184.00,943.00,74415.69
Arkansas,1.00,21----,29.00,346.00,51939.31
Arkansas,1.00,22----,81.00,1172.00,81938.57
Arkansas,1.00,23----,1044.00,7530.00,52493.49
Arkansas,1.00,31----,595.00,43321.00,48788.65
Arkansas,1.00,42----,674.00,9828.00,52666.26
Arkansas,1.00,44----,2530.00,29425.00,27499.68
Arkansas,1.00,48----,682.00,8548.00,47226.72
Arkansas,1.00,51----,243.00,1818.00,44764.03
Arkansas,1.00,52----,899.00,6151.00,55348.72
Arkansas,1.00,53----,634.00,2252.00,32246.00
Arkansas,1.00,54----,882.00,4093.00,48227.95
Arkansas,1.00,55----,54.00,1336.00,75976.05
Arkansas,1.00,56----,428.00,6268.00,28645.18
Arkansas,1.00,61----,83.00,2260.00,24523.89
Arkansas,1.00,62----,1884.00,41271.00,41770.57
Arkansas,1.00,71----,189.00,1652.00,18259.08
Arkansas,1.00,72----,1311.00,21638.00,14233.57
Arkansas,1.00,81----,1410.00,6631.00,23985.82
Arkansas,1.00,99----,21.00,29.00,36724.14
Arkansas,2.00,------,19511.00,303901.00,47616.49
Arkansas,2.00,11----,36.00,214.00,34462.62
Arkansas,2.00,21----,55.00,1064.00,69605.26
Arkansas,2.00,22----,71.00,2351.00,111870.69
Arkansas,2.00,23----,1634.00,16502.00,53438.92
Arkansas,2.00,31----,543.00,21171.00,53109.96
Arkansas,2.00,42----,973.00,15696.00,59398.96
Arkansas,2.00,44----,2901.00,40245.00,29374.13
Arkansas,2.00,48----,583.00,13403.00,48793.26
Arkansas,2.00,51----,348.00,11040.00,84853.89
Arkansas,2.00,52----,1498.00,18105.00,84181.77
Arkansas,2.00,53----,1041.00,4383.00,47487.34
Arkansas,2.00,54----,2121.00,13379.00,65086.85
Arkansas,2.00,55----,127.00,4822.00,78788.88
Arkansas,2.00,56----,937.00,16126.00,28673.38
Arkansas,2.00,61----,244.00,7896.00,27822.57
Arkansas,2.00,62----,2503.00,65201.00,56242.25
Arkansas,2.00,71----,217.00,3190.00,18692.16
Arkansas,2.00,72----,1676.00,33081.00,15706.27
Arkansas,2.00,81----,1980.00,15990.00,31432.77
Arkansas,2.00,99----,23.00,42.00,20452.38
Arkansas,3.00,------,20185.00,342029.00,50074.88
Arkansas,3.00,11----,38.00,939.00,35396.17
Arkansas,3.00,21----,45.00,510.00,63554.90
Arkansas,3.00,22----,64.00,2516.00,101813.20
Arkansas,3.00,23----,1831.00,16833.00,51528.55
Arkansas,3.00,31----,727.00,54360.00,45431.33
Arkansas,3.00,42----,1026.00,17506.00,53193.25
Arkansas,3.00,44----,2806.00,40974.00,32291.53
Arkansas,3.00,48----,614.00,24684.00,53853.10
Arkansas,3.00,51----,339.00,5841.00,72184.56
Arkansas,3.00,52----,1182.00,9194.00,68206.55
Arkansas,3.00,53----,1152.00,4749.00,40043.38
Arkansas,3.00,54----,2156.00,16682.00,67767.77
Arkansas,3.00,55----,837.00,28767.00,122673.27
Arkansas,3.00,56----,985.00,15854.00,35059.04
Arkansas,3.00,61----,204.00,3846.00,26106.86
Arkansas,3.00,62----,2317.00,46570.00,50278.63
Arkansas,3.00,71----,275.00,3376.00,20253.26
Arkansas,3.00,72----,1878.00,36257.00,15669.06
Arkansas,3.00,81----,1681.00,12541.00,27871.30
Arkansas,3.00,99----,28.00,30.00,84533.33
Arkansas,4.00,------,13601.00,184042.00,39338.62
Arkansas,4.00,11----,375.00,2460.00,46830.49
Arkansas,4.00,21----,140.00,1504.00,53875.00
Arkansas,4.00,22----,107.00,1420.00,91867.61
Arkansas,4.00,23----,1161.00,9926.00,43867.72
Arkansas,4.00,31----,660.00,43840.00,51879.49
Arkansas,4.00,42----,490.00,4792.00,49257.10
Arkansas,4.00,44----,2364.00,26325.00,27638.33
Arkansas,4.00,48----,571.00,8486.00,40607.71
Arkansas,4.00,51----,209.00,1610.00,46071.43
Arkansas,4.00,52----,883.00,5715.00,51498.34
Arkansas,4.00,53----,547.00,1908.00,35529.35
Arkansas,4.00,54----,833.00,4374.00,41020.12
Arkansas,4.00,55----,62.00,1534.00,143014.34
Arkansas,4.00,56----,493.00,7600.00,30431.32
Arkansas,4.00,61----,99.00,2290.00,25404.37
Arkansas,4.00,62----,1619.00,31728.00,39542.96
Arkansas,4.00,71----,159.00,2537.00,20076.07
Arkansas,4.00,72----,1214.00,19026.00,15905.71
Arkansas,4.00,81----,1587.00,6932.00,23365.55
Arkansas,4.00,99----,28.00,35.00,15714.29
California,1.00,------,15788.00,180308.00,44381.86
California,1.00,11----,160.00,1599.00,62895.56
California,1.00,21----,30.00,247.00,62360.32
California,1.00,22----,62.00,1287.00,149564.88
California,1.00,23----,2094.00,12663.00,61505.88
California,1.00,31----,577.00,11907.00,55076.93
California,1.00,42----,508.00,5789.00,60912.07
California,1.00,44----,2159.00,31157.00,33114.45
California,1.00,48----,405.00,5319.00,53937.39
California,1.00,51----,270.00,2492.00,51324.24
California,1.00,52----,841.00,6342.00,72430.94
California,1.00,53----,821.00,2579.00,40301.67
California,1.00,54----,1413.00,7517.00,55209.39
California,1.00,55----,43.00,1107.00,68061.43
California,1.00,56----,828.00,9305.00,39256.53
California,1.00,61----,196.00,3314.00,29143.63
California,1.00,62----,2094.00,38787.00,54767.99
California,1.00,71----,270.00,3431.00,19671.23
California,1.00,72----,1571.00,25043.00,18703.99
California,1.00,81----,1408.00,10312.00,27330.78
California,1.00,99----,38.00,111.00,23441.44
California,2.00,------,22006.00,236390.00,60509.23
California,2.00,11----,221.00,1459.00,53384.51
California,2.00,21----,10.00,135.00,89837.04
California,2.00,22----,32.00,705.00,152100.71
California,2.00,23----,2608.00,17472.00,70122.42
California,2.00,31----,924.00,18240.00,70198.63
California,2.00,42----,793.00,10052.00,121038.90
California,2.00,44----,2637.00,35073.00,42200.10
California,2.00,48----,358.00,5441.00,65147.95
California,2.00,51----,506.00,7399.00,150280.17
California,2.00,52----,1182.00,7993.00,121297.14
California,2.00,53----,1296.00,5545.00,63564.83
California,2.00,54----,2970.00,15101.00,97507.38
California,2.00,55----,105.00,2863.00,90685.64
California,2.00,56----,1128.00,13892.00,41174.99
California,2.00,61----,380.00,6879.00,40686.00
California,2.00,62----,2405.00,38467.00,60396.60
California,2.00,71----,545.00,7048.00,23330.59
California,2.00,72----,2087.00,31307.00,19976.24
California,2.00,81----,1772.00,11256.00,37022.21
California,2.00,99----,47.00,63.00,31301.59
California,3.00,------,12532.00,184140.00,50351.64
California,3.00,11----,102.00,1269.00,63707.64
California,3.00,21----,26.00,394.00,96954.31
California,3.00,22----,46.00,1326.00,126699.10
California,3.00,23----,1377.00,15480.00,72524.55
California,3.00,31----,426.00,16392.00,62607.67
California,3.00,42----,571.00,11009.00,65608.96
California,3.00,44----,1719.00,28864.00,32510.50
California,3.00,48----,671.00,10773.00,45126.52
California,3.00,51----,186.00,3046.00,75424.49
California,3.00,52----,604.00,5175.00,85364.64
California,3.00,53----,719.00,2947.00,47084.83
California,3.00,54----,1074.00,7035.00,67696.66
California,3.00,55----,54.00,2066.00,82695.55
California,3.00,56----,674.00,10257.00,39803.45
California,3.00,61----,151.00,3369.00,35022.56
California,3.00,62----,1463.00,29572.00,63748.95
California,3.00,71----,209.00,2505.00,14399.20
California,3.00,72----,1292.00,25673.00,21862.23
California,3.00,81----,1152.00,6967.00,31758.29
California,3.00,99----,16.00,21.00,73380.95
California,4.00,------,19985.00,246344.00,53968.92
California,4.00,11----,86.00,708.00,51796.61
California,4.00,21----,28.00,302.00,68850.99
California,4.00,22----,55.00,1476.00,147875.34
California,4.00,23----,2966.00,25772.00,69374.79
California,4.00,31----,584.00,8895.00,57468.35
California,4.00,42----,575.00,5681.00,74743.53
California,4.00,44----,2230.00,35280.00,34560.86
California,4.00,48----,405.00,4213.00,48870.88
California,4.00,51----,329.00,5065.00,94791.71
California,4.00,52----,1239.00,13703.00,110080.57
California,4.00,53----,1421.00,6565.00,54503.27
California,4.00,54----,2377.00,14241.00,71646.86
California,4.00,55----,79.00,4528.00,103802.34
California,4.00,56----,1125.00,16182.00,49638.12
California,4.00,61----,295.00,4160.00,34073.32
California,4.00,62----,2211.00,35937.00,72352.12
California,4.00,71----,394.00,12651.00,21414.83
California,4.00,72----,1938.00,40096.00,21298.96
California,4.00,81----,1622.00,10850.00,33410.88
California,4.00,99----,26.00,39.00,26128.21
California,5.00,------,17630.00,245845.00,58695.68
California,5.00,11----,89.00,1114.00,46272.89
California,5.00,21----,8.00,134.00,75141.79
California,5.00,22----,21.00,1596.00,161379.07
California,5.00,23----,2386.00,22839.00,75639.70
California,5.00,31----,1129.00,30833.00,85101.94
California,5.00,42----,738.00,10111.00,73949.36
California,5.00,44----,2035.00,32158.00,35162.07
California,5.00,48----,423.00,6493.00,52696.90
California,5.00,51----,235.00,2991.00,68890.34
California,5.00,52----,848.00,6130.00,102734.91
California,5.00,53----,930.00,3836.00,50611.05
California,5.00,54----,1818.00,9689.00,71978.53
California,5.00,55----,84.00,4137.00,132604.54
California,5.00,56----,988.00,14189.00,41983.93
California,5.00,61----,220.00,4862.00,34900.45
